,year,max_temp,min_temp,dew_point,humidity,condition,moon_phase,precip_type,visibility,wind_bearing,wind_speed,prediction
0,1944,33.0,18.0,16.99,0.66,fog,0.29,snow,1.38,269,10.87,0
1,1945,20.0,13.54,12.09,0.83,fog,0.67,snow,3.37,262,13.59,0
2,1946,34.0,17.0,13.49,0.55,wind,0.02,snow,8.46,266,17.49,0
3,1947,23.0,16.0,14.2,0.77,snow,0.39,snow,3.31,268,13.6,0
4,1948,26.51,8.97,12.7,0.78,fog,0.77,snow,2.71,244,12.54,0
5,1949,23.89,7.16,8.61,0.69,partly-cloudy,0.14,None,7.02,274,11.08,0
6,1950,37.2,27.94,31.83,0.94,rain,0.48,rain,2.06,269,6.69,1
7,1951,12.25,-1.29,-1.8,0.71,snow,0.87,snow,5.8,260,14.1,0
8,1952,44.6,35.5,39.62,0.94,rain,0.24,rain,3.57,247,5.37,0
9,1953,34.01,7.5,10.77,0.64,partly-cloudy,0.61,None,8.59,129,6.03,0
10,1954,39.14,31.84,29.52,0.79,partly-cloudy,0.96,rain,7.39,235,9.83,0
11,1955,25.83,2.5,11.4,0.79,snow,0.34,snow,5.74,37,10.58,0
12,1956,37.25,28.62,32.63,0.97,rain,0.71,rain,1.99,196,3.88,0
13,1957,28.69,17.54,19.58,0.83,partly-cloudy,0.08,None,6.28,253,2.95,0
14,1958,26.43,20.17,17.84,0.81,snow,0.44,snow,6.03,295,10.56,0
15,1959,19.81,-1.89,1.17,0.69,partly-cloudy,0.82,None,8.49,249,3.26,0
16,1960,23.05,12.28,7.36,0.64,snow,0.19,snow,6.64,350,8.89,0
17,1961,11.25,-9.1,-8.93,0.61,partly-cloudy,0.56,None,9.73,60,10.02,0
18,1962,24.86,8.11,11.62,0.8,snow,0.91,snow,5.87,194,2.54,0
19,1963,37.27,24.28,30.27,0.92,rain,0.3,rain,3.52,199,5.27,0
20,1964,30.85,16.24,23.54,0.85,snow,0.66,snow,6.54,312,12.11,0
21,1965,15.9,5.64,4.88,0.73,snow,0.03,snow,4.04,263,15.29,0
22,1966,26.04,18.98,17.28,0.83,snow,0.39,snow,3.84,331,5.47,0
23,1967,42.88,22.33,30.29,0.89,rain,0.77,rain,4.17,347,7.61,0
24,1968,46.46,27.72,33.65,0.8,snow,0.13,rain,6.94,207,11.48,0
25,1969,44.0,23.98,27.03,0.77,rain,0.51,None,7.3,127,6.97,0
26,1970,46.0,32.43,33.4,0.78,rain,0.86,rain,7.72,198,8.7,1
27,1971,6.63,-7.69,-10.76,0.59,partly-cloudy,0.25,None,8.94,263,9.47,0
28,1972,35.69,21.38,21.37,0.69,partly-cloudy,0.61,None,8.75,113,9.53,0
29,1973,51.24,39.98,42.75,0.91,rain,0.97,rain,6.98,176,8.17,0
30,1974,29.52,23.81,20.79,0.75,snow,0.34,snow,6.84,68,8.71,0
31,1975,32.17,20.66,17.01,0.69,partly-cloudy,0.72,None,8.1,32,4.77,1
32,1976,13.62,-6.88,-6.6,0.66,wind,0.08,snow,6.62,289,14.41,0
33,1977,22.34,11.27,9.66,0.75,snow,0.45,None,6.95,244,7.71,0
34,1978,22.58,13.05,8.94,0.71,snow,0.82,snow,5.74,306,3.68,0
35,1979,20.42,10.66,8.25,0.75,partly-cloudy,0.2,None,7.19,293,11.9,0
36,1980,16.92,6.22,1.46,0.65,partly-cloudy,0.55,None,7.96,308,11.58,0
37,1981,37.2,9.95,20.96,0.84,snow,0.92,snow,2.99,259,11.76,0
38,1982,33.47,15.98,16.09,0.67,snow,0.29,snow,9.21,134,9.18,0
39,1983,45.97,35.43,36.79,0.88,rain,0.67,rain,5.52,143,11.48,1
40,1984,43.83,16.09,18.86,0.65,partly-cloudy,0.03,None,9.37,169,9.09,0
41,1985,20.74,13.06,13.28,0.83,snow,0.39,snow,2.82,1,7.23,0
42,1986,43.14,30.6,32.84,0.87,cloudy,0.77,rain,3.53,285,7.67,1
43,1987,41.49,34.04,31.5,0.79,partly-cloudy,0.15,rain,7.09,252,9.98,0
44,1988,50.21,27.91,35.64,0.92,rain,0.49,rain,4.65,343,5.85,1
45,1989,43.32,37.02,35.1,0.83,fog,0.87,rain,5.96,31,1.6,0
46,1990,45.05,37.22,39.55,0.93,rain,0.25,rain,2.93,265,1.18,1
47,1991,48.51,30.67,21.04,0.48,partly-cloudy,0.62,None,9.85,233,10.61,0
48,1992,29.63,14.33,13.07,0.7,partly-cloudy,0.97,None,9.22,282,7.42,0
49,1993,25.5,5.4,3.99,0.63,partly-cloudy,0.34,None,9.88,305,5.16,0
50,1994,21.08,4.19,1.51,0.6,partly-cloudy,0.72,None,9.62,200,8.22,0
51,1995,31.8,18.62,17.08,0.65,partly-cloudy,0.1,None,9.2,328,7.44,1
52,1996,14.39,4.6,0.57,0.66,partly-cloudy,0.44,None,8.49,303,6.97,0
53,1997,41.82,29.56,28.94,0.79,partly-cloudy,0.82,rain,8.33,177,3.32,1
54,1998,46.05,31.64,24.29,0.59,partly-cloudy,0.2,None,9.82,188,4.8,0
55,1999,44.01,38.35,38.3,0.9,rain,0.57,rain,5.66,196,6.42,1
56,2000,23.22,12.79,9.2,0.68,partly-cloudy,0.91,snow,9.14,288,10.45,0
57,2001,32.43,17.34,21.29,0.8,snow,0.29,snow,6.2,260,8.37,0
58,2002,32.33,22.23,18.23,0.68,partly-cloudy,0.68,None,9.51,290,8.13,0
59,2003,35.97,26.53,27.79,0.86,partly-cloudy,0.05,None,7.94,287,7.42,0
60,2004,36.69,14.81,13.42,0.62,snow,0.38,snow,9.63,113,6.69,0
61,2005,39.93,13.32,15.05,0.65,partly-cloudy,0.77,None,8.45,101,3.62,0
62,2006,50.07,33.25,29.69,0.64,rain,0.15,rain,9.62,167,4.22,0
63,2007,29.37,14.81,21.39,0.84,snow,0.52,snow,5.04,252,6.91,1
64,2008,32.8,25.17,25.27,0.88,snow,0.85,snow,6.53,242,8.43,0
65,2009,34.2,21.78,23.0,0.72,partly-cloudy,0.25,None,9.65,264,4.34,0
66,2010,33.09,14.86,15.55,0.7,partly-cloudy,0.63,snow,9.13,104,1.84,0
67,2011,38.59,19.19,25.36,0.83,rain,0.99,rain,6.58,241,8.89,1
68,2012,36.76,32.01,29.31,0.83,partly-cloudy,0.33,None,9.06,315,6.76,0
69,2013,20.99,9.52,9.83,0.79,snow,0.72,snow,5.59,218,7.27,1
70,2014,42.74,27.5,27.76,0.75,rain,0.11,rain,6.85,293,4.57,0
71,2015,34.4,9.52,17.64,0.82,rain,0.46,snow,5.47,286,8.77,0
72,2016,46.09,24.33,24.23,0.66,rain,0.8,rain,9.74,124,6.72,1
73,2017,31.19,19.33,16.91,0.65,partly-cloudy,0.2,snow,8.88,277,9.45,0
